Номер драфта,тип дефекта,дата открытия,дата закрытия,Дата наступления SLA,Дней в работе,Дн,Статус,Команда устр проблему,Приоритет,Тематика,Метки,Кол-во инцидентов,Норматив,Дн,Выполнение норматива,Сервис ошибки
ADIRINC-1581,Дефект промсреды,2024-03-28 17:07:08,,2024-06-28 0:00:00,100.67637731481481,Дней,Повторный,НТФ (ЛК),Средний,другое,,,60,Дней,Нет,Личный кабинет
ADIRINC-1638,Дефект промсреды,2024-04-25 12:31:07,2024-05-23 12:12:41,2024-06-14 0:00:00,3.987199074074075,Дней,Закрыт,НТФ (ЛК),Средний,Заявки - Другое (2) - high,,,60,Дней,Да,Личный кабинет
ADIRINC-1529,Дефект промсреды,2024-03-05 14:38:52,,2024-06-05 0:00:00,116.77934027777776,Дней,Новый,Плутон 1,Средний,Заявки - Другое (2) - high,,,60,Дней,Нет,Альфа-Админ WEB
ADIRINC-1546,Дефект промсреды,2024-03-15 16:35:16,2024-04-18 17:39:43,2024-06-15 0:00:00,24.044756944444444,Дней,Закрыт,Сатурн,Средний,Заявки - Другое (2) - high,,,60,Дней,Да,Альфа мобайл
ADIRINC-1534,Дефект промсреды,2024-03-07 22:26:39,2024-05-14 16:04:27,2024-06-07 0:00:00,42.73458333333333,Дней,Закрыт,Ядро,Средний,другое,,,60,Дней,Да,Альфа-Админ
ADIRINC-1578,Дефект промсреды,2024-03-28 13:57:54,2024-05-27 14:00:47,2024-06-28 0:00:00,38.00200231481482,Дней,Закрыт,Appalachians,Низкий,Вводы ДС - Другое (4) - low,,,60,Дней,Да,Мобильный терминал
ADIRINC-1580,Дефект промсреды,2024-03-28 15:10:17,2024-05-30 9:52:10,2024-06-28 0:00:00,40.77908564814815,Дней,Закрыт,Appalachians,Средний,Рынок - Некорректные графики  по одному или нескольким рынкам за предыдущие дни (3) - low,,,60,Дней,Да,Мобильный терминал
ADIRINC-1624,Дефект промсреды,2024-04-18 13:50:41,2024-05-17 15:15:41,2024-06-06 0:00:00,17.059027777777775,Дней,Закрыт,Appalachians,Высокий,Рынок - Вкладка Рынок открывается долго (дольше 3 минут) (2) - high,ОТЭИСФЛ,,30,Дней,Да,Мобильный терминал
ADIRINC-1655,Дефект промсреды,2024-05-06 17:46:52,2024-05-06 17:48:21,2024-06-21 0:00:00,0.0010300925925925926,Дней,Закрыт,Core,Высокий,"Витрины, новости, аналитика - Другое (4) - low",,,30,Дней,Да,Мобильный терминал
ADIRINC-1558,Дефект промсреды,2024-03-20 12:00:15,2024-05-14 16:34:57,2024-06-20 0:00:00,35.19076388888889,Дней,Закрыт,Core,Низкий,другое,,,60,Дней,Да,Мобильный терминал
ADIRINC-1553,Дефект промсреды,2024-03-19 12:16:57,2024-06-20 12:46:30,2024-06-19 0:00:00,62.020520833333336,Дней,Закрыт,Core,Средний,Портфель - Некорректный баланс счета (2) - high,,,60,Дней,Нет,Мобильный терминал
ADIRINC-1636,Дефект промсреды,2024-04-24 14:08:32,2024-05-13 9:56:27,2024-06-12 0:00:00,8.82494212962963,Дней,Закрыт,Core,Высокий,другое,,,30,Дней,Да,Мобильный терминал
ADIRINC-1536,Дефект промсреды,2024-03-11 16:57:33,2024-03-18 13:38:52,2024-06-08 0:00:00,4.862025462962963,Дней,Закрыт,Core,Средний,Выводы ДС  - Не проходят выводы с Инвесткопилки (4) - low,АФБ,,60,Дней,Да,Альфа мобайл
ADIRINC-1523,Дефект промсреды,2024-03-04 9:48:25,,2024-06-04 0:00:00,117.98104166666666,Дней,Принят к исправлению,Core,Низкий,Портфель - Некорректный баланс счета (2) - high,,,60,Дней,Нет,Мобильный терминал
ADIRINC-1521,Дефект промсреды,2024-03-01 15:50:12,2024-03-29 9:37:44,2024-06-01 0:00:00,18.74134259259259,Дней,Закрыт,CoreMT,Средний,Портфель - Некорректный состав портфеля (вкл. некорректный минус по счету) (1) - critical,ОТЭИСФЛ,,60,Дней,Да,Мобильный терминал
ADIRINC-1634,Дефект промсреды,2024-04-23 17:42:01,2024-05-20 9:51:36,2024-06-11 0:00:00,14.673321759259258,Дней,Закрыт,Everest,Высокий,Заявки - Другое (2) - high,,,30,Дней,Да,Мобильный терминал
ADIRINC-1577,Дефект промсреды,2024-03-28 13:37:37,,2024-06-28 0:00:00,100.821875,Дней,К закрытию,Montblanc,Средний,Портфель - Другое (4) - low,,,60,Дней,Нет,Мобильный терминал
ADIRINC-1561,Дефект промсреды,2024-03-20 14:29:40,,2024-06-20 0:00:00,106.78572916666666,Дней,На исправление,Montblanc,Средний,Рынок - Некорректные  стаканы  по одному или нескольким рынкам (2) - high,"Отображение_инструмента, Стакан",,60,Дней,Нет,Альфа Инвестиции 4.0. ДТ
ADIRINC-1552,Дефект промсреды,2024-03-19 11:53:57,2024-04-19 9:58:58,2024-06-19 0:00:00,22.920150462962965,Дней,Закрыт,Montblanc,Средний,Портфель - Не открывается вкладка Портфель (1) - critical,,,60,Дней,Да,Мобильный терминал
ADIRINC-1548,Дефект промсреды,2024-03-18 10:59:32,2024-06-03 7:58:10,2024-06-18 0:00:00,50.87405092592592,Дней,Закрыт,Montblanc,Средний,другое,,,60,Дней,Да,Мобильный терминал
ADIRINC-1545,Дефект промсреды,2024-03-15 15:11:49,2024-07-03 8:30:58,2024-06-15 0:00:00,72.72163194444444,Дней,Закрыт,Montblanc,Средний,Портфель - Некорректный баланс счета (2) - high,,,60,Дней,Нет,Мобильный терминал
ADIRINC-1540,Дефект промсреды,2024-03-12 11:11:33,,2024-06-11 0:00:00,112.92331018518517,Дней,Повторный,Montblanc,Средний,Портфель - Другое (4) - low,,,60,Дней,Нет,Мобильный терминал
ADIRINC-1532,Дефект промсреды,2024-03-06 19:26:36,,2024-06-06 0:00:00,115.57952546296295,Дней,Отложен,Montblanc,Низкий,Портфель - Другое (4) - low,,,60,Дней,Нет,Мобильный терминал
ADIRINC-1530,Дефект промсреды,2024-03-05 15:38:20,2024-04-25 13:36:29,2024-06-05 0:00:00,35.91538194444445,Дней,Закрыт,Montblanc,Средний,Портфель - Некорректная история операций (3) - low,ОТЭИСФЛ,,60,Дней,Да,АИ ПРО ВТ
ADIRINC-1574,Дефект промсреды,2024-03-28 9:40:49,,2024-06-28 0:00:00,100.98631944444443,Дней,Новый,Pro terminal,Средний,другое,,,60,Дней,Нет,Альфа Инвестиции 4.0. ДТ
